id,action,value,created_at,user_id
1144,enter,home,2018-02-21 08:30:45.169158+00,52
1148,enter,home,2018-02-21 10:07:01.98235+00,52
1152,เพิ่มเข้าตะกร้า,แกงส้ม+ไข่เจียว,2018-02-21 10:10:14.041527+00,52
1160,สั่งอาหาร,76,2018-02-21 10:15:29.73492+00,52
411,enter,home,2018-02-16 10:25:31.747361+00,18
412,enter,โรงอาหารโต้รุ่ง,2018-02-16 10:26:00.570519+00,18
413,enter_store,พินิจโต้รุ่ง,2018-02-16 10:26:29.273015+00,18
414,สั่งอาหาร,47,2018-02-16 10:27:35.459889+00,18
415,enter,home,2018-02-16 10:30:39.613407+00,18
416,enter,โรงอาหารโต้รุ่ง,2018-02-16 10:30:57.685493+00,18
417,enter_store,ร้านอาหารตามสั่งอิ่มอร่อย,2018-02-16 10:31:08.950801+00,18
418,enter_store,ร้านอาหารตามสั่งอิ่มอร่อย,2018-02-16 10:32:02.168423+00,18
419,สั่งอาหาร,48,2018-02-16 10:34:29.828512+00,18
420,enter,home,2018-02-16 11:14:13.457351+00,18
421,search_cate,ของหวาน,2018-02-16 12:52:29.774393+00,18
422,search_cate,สเต็ก,2018-02-16 12:52:39.479332+00,18
423,search_cate,ปิ้งย่าง,2018-02-16 12:52:43.535009+00,18
424,search_cate,ปิ้งย่าง,2018-02-16 12:52:43.673708+00,18
425,search_cate,ชาบู,2018-02-16 12:52:47.878474+00,18
426,search_cate,อาหารไทย,2018-02-16 12:52:52.650928+00,18
754,enter,home,2018-02-20 01:42:46.404412+00,36
756,กรอกประวัติความหิว,NinewsPisitt,2018-02-20 01:44:25.544712+00,36
758,enter,โรงอาหารโต้รุ่ง,2018-02-20 01:45:55.755653+00,36
760,enter_store,ปังเย็น,2018-02-20 01:46:57.79956+00,36
762,search_cate,เครื่องดื่ม,2018-02-20 04:04:50.341626+00,37
764,enter_store,สมใจ ลูกชิ้นทอด,2018-02-20 04:05:49.13716+00,37
438,enter,home,2018-02-16 13:23:07.819235+00,19
